ID ID_BURGDORF NAME LOCATION PROXY LON LAT SEAS VARIABLE UNIT PERIOD_START PERIOD_END N REF_PERIOD_START REF_PERIOD_END REFDATA MODEL CORREL PVAL
206 504 Ice_phenology_Bratsk_Angara_River_freeze-up Bratsk Angara_River 101.8333 56.06667 earlywinter freeze_up_date DOY 1856 1907 52 1856 1907 BEST JulAugNovDec 0.5780314 0.000626374
209 499 Ice_phenology_Turku_Aura_River_break-up Turku Aura_River 22.28333 60.45 latespring break_up_date DOY 1740 1839 79 1801 1839 BEST MarApr 0.8712501 1.52e-11
211 505 Ice_phenology_Bolderaja_Bullupe_River_break-up Bolderaja Bullupe_River 24.05 57.03333 latespring break_up_date DOY 1844 1881 38 1844 1881 BEST MarApr 0.805839 1.08e-08
212 506 Ice_phenology_Bolderaja_Bullupe_River_freeze-up Bolderaja Bullupe_River 24.05 57.03333 earlywinter freeze_up_date DOY 1844 1881 37 1844 1881 BEST AugSep 0.42033 0.03670218
223 547 Ice_phenology_Kyiv_Dnieper_River_break-up_2 Kyiv Dnieper_River 30.5 50.45 latespring break_up_date DOY 1858 1878 21 1858 1878 BEST FebMar 0.8916883 6.36e-07
224 546 Ice_phenology_Kyiv_Dnieper_River_freeze-up_2 Kyiv Dnieper_River 30.5 50.45 earlywinter freeze_up_date DOY 1858 1878 21 NA NA NA none NA NA
229 561 Ice_phenology_Omsk_Irtysh_River_break-up Omsk Irtysh_River 73.41667 54.983 latespring break_up_date DOY 1820 1905 70 1820 1905 BEST Apr 0.6035544 3.19e-08
230 560 Ice_phenology_Omsk_Irtysh_River_freeze-up Omsk Irtysh_River 73.41667 54.983 earlywinter freeze_up_date DOY 1829 1905 68 1829 1905 BEST JunJulAug 0.340615 0.047
231 566 Ice_phenology_Yekaterinburg_Iset_River_break-up Yekaterinburg Iset_River 60.61667 56.83333 latespring break_up_date DOY 1844 1881 22 1844 1881 BEST Apr 0.7132879 0.000194
232 565 Ice_phenology_Yekaterinburg_Iset_River_freeze-up Yekaterinburg Iset_River 60.61667 56.83333 earlywinter freeze_up_date DOY 1844 1881 29 NA NA NA none NA NA
